clean_text,label
"I got called a “sheep” today and was told masks don’t work when I was at the store today. Employees weren’t wearing masks and I was the only in the store who was.Obviously,they didn’t read my “Be Kind” shirt. 😅#goflockyourself #sheep #COVIDー19 ",0
"@HawkGene @RealCandaceO @JoeBiden We do. Some people play in traffic- freedom.Some people do drugs- freedom.Some people drink and drive-freedom.Some people refuse to wear a mask- freedom. Freedom doesn’t mean you have to act stupid, though.",2
"“I won’t wear a mask, I’m not a sheep” says the proud Christian",2
"Love is Universal 🏳️‍🌈🌈 🌎 If you’re out, don’t get close to people.#pridemonth #facemask #socialdistancing #citywalk #universalstudios #teampride #equality #freedom #humanrights #loveislove #alllove #lovewins… ",2
"@bowse55 You want rights that you don't want to afford others. Simple fact.You could kill someone spreading Covid, but that's ok bc you're scared of a mask.",0
It’s time to take our country and our freedom back. #EndTheLockdowns #MasksOff ,1
What the Govenor states is true! You can pick and choose the freedoms. But the City Governments think they have the right to do this and it takes away freedoms. Especially when you are fined when u don’t follow a mandated mask order. ,1
@ChristianNRicks Some of your anger should be directed at Rep Jordan of Ohio. He was very vocal about promoting “freedom of choice” on whether or not to wear a mask. I think you should retweet and take action.,2
I never wear a mask and pray someone confronts me like this. ,1
We NoKo wished these Imperialist Americans practiced social distancing whiles looting stores.This attitude towards #COVID19 will keep Philly in the “yellow phase” 4ever so b*tches pleaseee!Bravo to this lady for having her mask on whiles robbing a candle store on Chestnut St.🤔 ,0
"@tedcruz So, What do you suggest these non violent people do, Senator?  Their govt has taken their jobs, their income, their freedom to gather even with family and told them to stay home and wear a mask?  You are all so out of touch. 😖😖😖😖",1
"How small of a wiener do you have to have to not wear a mask into a retail store, making the person working have to say something to you",0
"Mask Off, is gonna hit even harder after Covid.",2
Because these anti-mask freedom fighters are a bunch of dumb cunts. ,0
"I’m fed up with all this mask whining!! Yes it’s inconvenient, yes it’s unflattering, yes it’s harder to breathe, yes it conflicts with personal rights. Consider this: being in the ER due to COVID is inconvenient, being intubated is unflattering and harder to breath",0
"@tariqnasheed I don't wear a mask , if some bitch does that to me he's dead meat !",1
HELL YES!!! #SickOfCovidLies #ShoveYourMaskMandate ,1
"When this pandemic is behind us, the question we’ll all have to answer is “Did I love others enough to wear a mask, keep a social distance, and give up a few of my minor “rights” so that others could live?” #COVID #COVID19 #bethechurch #WWJD",0
He can wear a mask until the day he dies. I don't care.  I'm done with talking away my freedom of choice. ,1
