clean_text,label
You know you’ve gotten too accustomed to COVID when you’re watching a movie and are wondering why the characters aren’t wearing a mask in the airport 🤦🏼‍♀️,2
@MysterySolvent Because she’s not wearing a mask and is afraid she’ll get Covid.,2
The Boss says #mask up !!🇺🇸🇺🇸❤️👍@#covid19 #brazil #jerseyshore #bornintheusa   Boss we need you #brucespringsteen  @senschumer @ USA Eastcoast ,2
Protestors concerned with the needs of vulnerable groups practiced ...wait for it ... concern for vulnerable groups. #WearAMaskSaveALife ,0
All I said to Denise was “look at all these people not wearing a mask” and this lady walking by responded by saying “we dont need to wear a mask” I hate it here.,0
@PeterHotez @jaketapper I'm not wearing a mask I've have a BSM degree and know masks are not effective against any type of virus and covid19 is particularly vicious form of flu Dr.Fauci is 🇨🇳 mouthpiece and part of the attempted communist 🌎 take over #FIGHTCOMMUNISTCOUP,1
"To all of our families, friends, and to anyone who celebrates...Happy #Hanukkah Wishing you all the joys of this very special season.🐾🐅⚽️🟠⚫️#TheOnlyWayToPlay #WearAMask😷            #WeAreTenafly #TigerPride #GoTigers #TFLY #TenaflyStrong #TeamTenafly #VamosTenafly ",2
"@khawks1955 @Argus911 Wear a mask if you'd like, she never said you can't",2
@julietlapidos @MollyJongFast “as long as riders wear masks and train cars or buses never become as intensely crowded as they did in pre-pandemic rush hours.” Neither of those statements are likely to be true in the US given politicization of masks and underfunded transit systems,2
Wear a mask.  It works for you and others around you. ,0
"Also, all the Republican lawmakers that followed in Trump's footsteps by not wearing a mask should get the vaccine first. The dictator is making his own rules as to who gets the vaccine. Screw everyone else!",2
Miami mandates masks in public to curb COVID-19 spread. Violators can be fined ,2
"What is wrong with people?🇺🇸😷😷🇺🇸Can't they just clean themselves, double mask and stand 6 to 9 feet apart? Americans are a very ""needy"" population. They will become extinct because of their neediness and extremism. 🇺🇸  in my own words. ;)🇺🇸😷😷🇺🇸  ",0
@HHSGov @CDCgov Until then wear a fucking mask 😷,0
"This is your daily reminder to stop being a selfish asshole and wear a mask (it’s not for you; it’s for your family, friends, and neighbors) #WearAMask #WearADamnMask #COVID19  #coronavirus",0
"A COVID vaccine is coming. Do me a favor, stay alive long enough to get it.Wear a mask 😷 Social Distance Stay home if sick or exposed Get your flu shot. #InThisTogether",0
This is the same WH physician who issued a statement about prescribing hydroxychloroquine to the President as a preventative measure.Looks like advising POTUS to wear a mask and avoid convening large crowds of unmasked people would have been wiser.   ,0
"@cbschicago Is it that hard to wear a mask?? Some of us have kids across the border! So disappointed in all those that send shots of partying on down while we are in #Quarantine, #phaseIII + #wearamask. Per #NarwhalLife no one wears a mask in #WOW burb &amp; they think she is nuts for doing so. ",0
"Another observation, coronavirus is still a thing. Wear your masks and keep your distance!!",0
"I know we’re gonna want to celebrate tonight, but we cannot forget the virus. Yesterday we had more than 121,000 new Covid-19 cases; a record high. This is a stark reminder that though we have been at this for eight months, the pandemic is not over. Be kind to all &amp; wear a mask. ",0
"915 new cases in our state down from 4,000+/day for a long stretch. Keep it up Arizona and continue to #WearADamnMask. @dougducey ",0
@DrEricDing @RepMegFroe @donwinslow We must #WearAMask #StopTheSpread,0
