id,tweet
1,fuck corona i miss my boyfriend
2,@realDonaldTrump is a POS! https://t.co/3AswTGnccD
3,You know what we all need during this Corona outbreak? A Darth Vader mask.
4,This corona virus ainâ€™t got shit over the valley fever
5,Corona who? https://t.co/VRJuZvGoaV
6,They think my sister has Corona ðŸ‘€
7,"We know 1st-hand, hospitals in Detroit testing solely 4 Flu variants. If negative, assume &amp; treat as Corona, keeping #coronanumbers low &amp; vague at best. This is occurring throughout US Drs forced to circumvent #COVID19 data inclusion due to lack of test processing capabilities"
8,Corona actually *this* close to making me watch whatever the fuck â€œJust Chattingâ€ is on Twitch.
9,@heIIIa Corona Cove
10,"Two cases of the corona virus in Bakersfield. Wish eveyone the best, hope we all make it to see a brighter tomorrow"
11,Will snorting the hand sanitizer keep me safe from Corona?
12,"Fire ass mix foo. Sheeeeesh.

Somebody tag Guero for me! 

https://t.co/ZK1QAGQQaH"
13,"@eugenegu @realDonaldTrump Your the liar for putting words on peopleâ€™s mouth. If you were paying attention , Trump said that the media narrative against him concerning the virus was a hoax . He didnâ€™t say corona virus is a hoax so get your story straight"
14,California at the time of Corona .. Silicon Valley under the ban https://t.co/bmvG5kwUQB
15,I lived in the old Pike house one summer.... Iâ€™m for sure immune ðŸ˜‚ https://t.co/j5MC0WUBJC
16,Omg I had that https://t.co/9f1OZbCv2Q
17,Naming every beat corona ________ v2
18,I feel like me and @anouardoullouz would merk them zombies no cap https://t.co/6orHOGsDuy
19,Martial Law ðŸ¤  https://t.co/aNuE1M6p8H
20,Itâ€™s a sad day ðŸ˜” my mom was suppose to see her mom after not seeing her for 20 years tomorrow but with this corona virus shit they closed the frontera and wonâ€™t be able to see her ðŸ˜“ðŸ’” they were so excited to see each other it break my heart for them both!
21,@BethanyAllenEbr Thank you for saying Corona Virus
22,"Dropped pin Near HoHoe's Spooge Mayo  Trp. (HHH) 5-G corona Backroads 1 of Many stations Dwellings of Stank Holes HoHoe's
https://t.co/Z60iW8w8cp"
23,Alcohol kills germs fuck you corona virus on a road trip from Seattle to LAðŸ¥³ https://t.co/gwTmya3M5J
24,"@LauraPostVoice @littleramyun @codaunite From https://t.co/L45vJ9Mg07:

Is this order mandatory? What happens if I donâ€™t comply?

Yes. This is a legally enforceable order. It is against the law to violate this Order, and you may be punished by a fine or imprisonment for doing so."
25,"@codaunite The order from https://t.co/L45vJ9Mg07
Should verify that our work falls under non-essential."
26,canâ€™t wait to see all these ugly ass corona babies in december
27,"Did I really just hear my mom say 
â€œYou got cock blocked by corona!â€ 
I HATE IT HERE!"
28,fck a bitch named Corona! I was suppose to go see my man &amp; his family in AZ this weekend! :((
29,That's WHAT I BEEN SAYING! ðŸ™„ https://t.co/QxnBxAnGmL
30,"â€œ 56 % of Californians will be infected by the corona virus over the next 8 weeks â€œ
Me, Iâ€™m from Cali and everyone from Cali right now: 

 https://t.co/varJwaxOGv"
31,@Seckbach Thank you for saying Corona Virus
32,found out that at least  56% of Californians could have corona but at least the Weekndâ€™s album just came out
33,*Trump https://t.co/FSvo18b4uH
34,Do you think if we all hit the quan at the same time the corona virus will go away
