submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/25/2021,NE,"187,923",,,646,0,"1,894",,,15,0,01/27/2021 12:00:00 AM,Not agree,Not agree
02/02/2021,IL,"1,130,917","1,130,917",0,2304,0,"21,336","19,306","2,030",63,16,02/03/2021 02:55:58 PM,Agree,Agree
07/30/2020,ME,"3,910","3,497",413,22,2,123,122,1,2,0,07/31/2020 02:35:06 PM,Agree,Agree
05/03/2020,NH,"2,518",,,89,0,86,,,2,0,05/04/2020 10:49:24 PM,Not agree,Not agree
12/04/2020,IN,"367,338",,,7899,0,"7,031","6,746",285,91,1,12/04/2020 12:00:00 AM,Not agree,Agree
05/04/2020,IN,"20,507",,,574,0,"1,411","1,278",133,37,0,05/04/2020 12:00:00 AM,Not agree,Agree
02/02/2020,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12/27/2020,CA,"2,319,593","2,249,322","70,271",13613,664,"29,708",,,570,0,12/28/2020 12:00:00 AM,Agree,Not agree
05/15/2020,CT,"36,085","34,059","2,026",621,-11,"3,285","2,524",761,66,8,05/16/2020 03:46:44 PM,Agree,Agree
05/31/2021,NV,"324,132",,,128,0,"5,586",,,0,0,06/01/2021 03:18:33 PM,,
03/07/2021,NE,"203,157",,,374,0,"2,113",,,0,0,03/09/2021 12:00:00 AM,Not agree,Not agree
06/09/2021,ND,"110,351","101,268","9,083",53,16,"1,517",,,0,0,06/10/2021 02:48:23 PM,Agree,Not agree
05/11/2020,CT,"33,765","31,955","1,810",211,-30,"3,008","2,294",714,41,-10,05/12/2020 05:26:08 PM,Agree,Agree
09/13/2020,MO,"108,944",,,663,18,"2,132",,,19,0,09/15/2020 12:00:00 AM,Not agree,Not agree
06/23/2020,MD,"65,337",,,330,0,"3,218","3,088",130,15,0,06/25/2020 12:00:00 AM,N/A,Agree
07/06/2020,DE,"12,583","11,656",927,119,0,514,457,57,2,0,07/08/2020 12:00:00 AM,Agree,Agree
05/01/2021,IL,"1,337,868","1,337,868",0,2813,0,"24,330","21,992","2,338",39,7,05/02/2021 02:13:07 PM,Agree,Agree
02/24/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
10/05/2020,WI,"141,655","134,359","7,296",1727,31,"1,392","1,381",11,4,0,10/06/2020 01:33:58 PM,Agree,Agree
04/24/2020,ME,965,965,0,28,0,47,47,0,3,0,05/25/2020 03:38:40 PM,Agree,Agree
02/14/2021,GU,"7,699",,,10,0,130,,,0,0,02/15/2021 02:46:24 PM,Not agree,Not agree
03/13/2020,VT,2,,,0,0,0,,,0,0,03/15/2020 12:00:00 AM,Not agree,Not agree
07/09/2021,MO,"631,603",,,1639,472,"9,387",,,4,0,07/10/2021 02:17:36 PM,Not agree,Not agree
08/23/2020,IL,"221,595","220,178","1,417",1893,0,"8,089","7,880",209,6,0,08/24/2020 01:54:34 PM,Agree,Agree
11/19/2020,MI,"423,621","388,797","34,824",6304,384,"9,011","8,600",411,93,3,11/20/2020 12:00:00 AM,Agree,Agree
08/08/2020,NV,"55,644",,,887,1,977,,,30,1,08/09/2020 02:03:10 PM,,
03/21/2021,VI,"2,858",,,6,0,25,,,0,0,03/22/2021 01:57:09 PM,,
05/09/2021,MI,"974,134","873,038","101,096",1301,175,"19,723","18,541","1,182",58,1,05/10/2021 12:00:00 AM,Agree,Agree
03/08/2021,CA,"3,673,952","3,534,725","139,227",2378,197,"59,999",,,101,0,03/09/2021 12:00:00 AM,Agree,Not agree
09/22/2020,CA,"810,080","804,380","5,700",2204,44,"16,351",,,71,0,09/23/2020 12:00:00 AM,Agree,Not agree
07/06/2021,WI,"678,048","613,152","64,896",40,5,"8,144","7,323",821,0,0,07/07/2021 02:48:49 PM,Agree,Agree
10/27/2020,CA,"937,908","928,857","9,051",3008,109,"18,170",,,45,0,10/28/2020 12:00:00 AM,Agree,Not agree
08/29/2020,VT,"1,464",,,12,0,57,,,0,0,08/31/2020 12:00:00 AM,Not agree,Not agree
01/24/2021,CA,"3,343,884","3,224,337","119,547",20962,"1,148","47,638",,,545,0,01/25/2021 12:00:00 AM,Agree,Not agree
02/11/2021,MO,"540,239",,,1007,270,"8,330",,,19,0,02/13/2021 12:00:00 AM,Not agree,Not agree
06/25/2021,NE,"224,270",,,44,0,"2,259",,,0,0,06/26/2021 02:17:39 PM,Not agree,Not agree
01/01/2021,CA,"2,561,950","2,480,090","81,860",56643,"2,552","32,704",,,619,0,01/02/2021 12:00:00 AM,Agree,Not agree
10/20/2020,MD,"137,236",,,492,0,"4,198","4,041",157,12,0,10/22/2020 12:00:00 AM,N/A,Agree
01/19/2021,NC,"717,877","635,424","82,453",37438,"17,114","9,768","8,803",965,1657,326,01/19/2021 12:00:00 AM,Agree,Agree
04/23/2020,DE,"3,579","3,529",50,143,1,100,90,10,8,0,06/03/2021 01:36:29 PM,Agree,Agree
03/15/2021,NV,"299,471",,,184,0,"5,121",,,3,0,03/16/2021 02:12:32 PM,,
09/27/2020,AL,"165,253","141,879","23,374",593,110,"3,922","3,407",515,17,7,09/29/2020 12:00:00 AM,Agree,Agree
11/03/2020,ND,"48,301","48,301",0,1114,0,568,,,12,0,11/04/2020 03:03:00 PM,Agree,Not agree
07/21/2021,AL,"565,507","433,891","131,616",1567,485,"11,466","9,148","2,318",6,-1,07/22/2021 03:06:50 PM,Agree,Agree
06/23/2020,WI,"28,127","25,331","2,796",289,26,757,750,7,6,1,06/24/2020 03:03:27 PM,Agree,Agree
03/26/2020,NH,158,,,21,,1,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/13/2021,MD,"370,983",,,847,0,"8,020","7,820",200,26,0,02/15/2021 12:00:00 AM,N/A,Agree
04/12/2021,CA,"3,760,790","3,614,532","146,258",1974,161,"62,031",,,34,0,04/13/2021 12:00:00 AM,Agree,Not agree
07/11/2020,MI,"138,628","125,788","12,840",900,83,"6,402","6,093",309,9,1,07/12/2020 12:00:00 AM,Agree,Agree
05/30/2021,DE,"108,846","101,377","7,469",46,6,"1,661","1,519",142,0,0,06/01/2021 12:00:00 AM,Agree,Agree
05/27/2021,CT,"347,137","317,892","29,245",157,35,"8,230","6,771","1,459",3,2,05/28/2021 01:29:21 PM,Agree,Agree
04/04/2021,MI,"820,063","737,683","82,380",4607,600,"17,482","16,429","1,053",48,2,04/05/2021 12:00:00 AM,Agree,Agree
