Jurisdiction of Occurrence,Week ,All Cause
Alabama,-11,"1,082"
Alabama,-10,"1,127"
Alabama,-9,"1,039"
Alabama,-8,"1,056"
Alabama,-7,"1,026"
Alabama,-6,"1,120"
Alabama,-5,"1,095"
Alabama,-4,"1,098"
Alabama,-3,"1,164"
Alabama,-2,"1,057"
Alabama,-1,"1,091"
Alabama,0,"1,059"
Alabama,1,"1,073"
Alabama,2,"1,156"
Alabama,3,"1,135"
Alabama,4,"1,149"
Alabama,5,"1,139"
Alabama,6,"1,147"
Alabama,7,"1,171"
Alabama,8,"1,148"
Alabama,9,"1,153"
Alabama,10,"1,109"
Alabama,11,"1,173"
Alabama,12,"1,138"
Alabama,13,"1,090"
Alabama,14,"1,151"
Alabama,15,"1,201"
Alabama,16,"1,265"
Alabama,17,"1,289"
Alabama,18,"1,333"
Alabama,19,"1,364"
Alabama,20,"1,379"
Alabama,21,"1,305"
Alabama,22,"1,303"
Alabama,23,"1,216"
Alabama,24,"1,216"
Alabama,25,"1,232"
Alabama,26,"1,200"
Alabama,27,"1,183"
Alabama,28,"1,103"
Alabama,29,"1,204"
Alabama,30,"1,190"
Alabama,31,"1,142"
Alabama,32,"1,169"
Alabama,33,"1,277"
Alabama,34,"1,269"
Alabama,35,"1,275"
Alabama,36,"1,326"
Alabama,37,"1,355"
Alabama,38,"1,598"
Alabama,39,"1,584"
Alabama,40,"1,626"
Alabama,41,"1,801"
Alabama,42,"1,803"
Alabama,43,"1,817"
Alabama,44,"1,778"
Alabama,45,"1,631"
Alabama,46,"1,499"
Alabama,47,"1,415"
Alabama,48,"1,325"
Alabama,49,"1,305"
Alabama,50,"1,147"
Alabama,51,"1,172"
Alabama,52,"1,043"
Alabama,53,"1,174"
Alabama,54,"1,089"
Alabama,55,"1,182"
Alabama,56,"1,143"
Alabama,57,"1,083"
Alabama,58,"1,167"
Alabama,59,"1,117"
Alabama,60,"1,053"
Alabama,61,"1,032"
Alabama,62,989
Alabama,63,927
Alabama,64,831
Alabama,65,602
Alaska,-11,89
Alaska,-10,105
Alaska,-9,99
Alaska,-8,97
Alaska,-7,85
Alaska,-6,92
Alaska,-5,89
Alaska,-4,83
Alaska,-3,84
Alaska,-2,79
Alaska,-1,92
Alaska,0,69
Alaska,1,86
Alaska,2,98
Alaska,3,84
Alaska,4,80
Alaska,5,61
Alaska,6,87
Alaska,7,89
Alaska,8,84
Alaska,9,82
Alaska,10,97
Alaska,11,79
Alaska,12,88
Alaska,13,92
Alaska,14,90
Alaska,15,84
Alaska,16,101
Alaska,17,89
Alaska,18,93
Alaska,19,114
Alaska,20,101
Alaska,21,74
Alaska,22,116
Alaska,23,93
Alaska,24,105
Alaska,25,87
Alaska,26,104
Alaska,27,114
Alaska,28,78
Alaska,29,117
Alaska,30,101
Alaska,31,102
Alaska,32,107
Alaska,33,114
Alaska,34,114
Alaska,35,122
Alaska,36,114
Alaska,37,118
Alaska,38,135
Alaska,39,99
Alaska,40,115
Alaska,41,105
Alaska,42,111
Alaska,43,128
Alaska,44,95
Alaska,45,89
Alaska,46,86
Alaska,47,91
