,code,count,week,state,deaths,July 2019 Estimate,normalized_counts
0,CA,245,0,California,5681,39512223,6.200612909073731e-06
1,CA,219,1,California,5689,39512223,5.542588681988356e-06
2,CA,141,2,California,5986,39512223,3.5685160007322293e-06
3,CA,81,3,California,6047,39512223,2.0499985536121317e-06
4,CA,369,4,California,6131,39512223,9.3388822997886e-06
5,CA,387,5,California,5938,39512223,9.794437533924628e-06
6,CA,363,6,California,5744,39512223,9.18703055507659e-06
7,CA,390,7,California,5671,39512223,9.870363406280634e-06
8,CA,622,8,California,5695,39512223,1.574196420181168e-05
9,CA,637,9,California,5530,39512223,1.61215935635917e-05
10,CA,462,10,California,5593,39512223,1.169258434282475e-05
11,CA,432,11,California,5518,39512223,1.0933325619264703e-05
12,CA,628,12,California,5570,39512223,1.5893815946523687e-05
13,CA,746,13,California,5489,39512223,1.8880233592526546e-05
14,CA,833,14,California,5701,39512223,2.1082083890850686e-05
15,CA,760,15,California,5901,39512223,1.92345543301879e-05
16,CA,899,16,California,6042,39512223,2.2752453082682793e-05
17,CA,757,17,California,6229,39512223,1.9158628457831896e-05
18,CA,782,18,California,6250,39512223,1.9791344060798604e-05
19,CA,689,19,California,6339,39512223,1.7437642017762452e-05
20,CA,734,20,California,6309,39512223,1.8576530103102527e-05
21,CA,793,21,California,6291,39512223,2.0069738926103957e-05
22,CA,630,22,California,6477,39512223,1.5944433194761023e-05
23,CA,623,23,California,5878,39512223,1.5767272825930345e-05
24,CA,631,24,California,5784,39512223,1.5969741818879692e-05
25,CA,602,25,California,5874,39512223,1.523579171943831e-05
26,CA,508,26,California,5753,39512223,1.2856781052283492e-05
27,CA,486,27,California,5562,39512223,1.2299991321672789e-05
28,CA,529,28,California,5669,39512223,1.3388262158775526e-05
29,CA,540,29,California,5568,39512223,1.3666657024080877e-05
30,CA,523,30,California,5620,39512223,1.3236410414063516e-05
31,CA,586,31,California,5350,39512223,1.483085373353962e-05
32,CA,974,32,California,5529,39512223,2.4650599891582918e-05
33,CA,476,33,California,5872,39512223,1.2046905080486108e-05
34,CA,1067,34,California,6002,39512223,2.7004301934619065e-05
35,CA,903,35,California,6350,39512223,2.285368757915747e-05
36,CA,710,36,California,6391,39512223,1.796912312425449e-05
37,CA,1066,37,California,7160,39512223,2.69789933105004e-05
38,CA,932,38,California,8143,39512223,2.358763767859885e-05
39,CA,819,39,California,9218,39512223,2.072776315318933e-05
40,CA,727,40,California,10550,39512223,1.839936973427185e-05
41,CA,676,41,California,11233,39512223,1.7108629904219764e-05
42,CA,550,42,California,11882,39512223,1.391974326526756e-05
43,CA,584,43,California,11551,39512223,1.4780236485302282e-05
44,CA,590,44,California,10393,39512223,1.4932088230014292e-05
45,CA,508,45,California,9574,39512223,1.2856781052283492e-05
46,CA,488,46,California,8757,39512223,1.2350608569910127e-05
47,CA,434,47,California,7846,39512223,1.0983942867502039e-05
48,CA,482,48,California,6996,39512223,1.2198756825198117e-05
49,CA,522,49,California,6702,39512223,1.3211101789944848e-05
50,TX,164,0,Texas,4256,28995881,5.655975757384299e-06
51,TX,144,1,Texas,4259,28995881,4.966222616239872e-06
52,TX,89,2,Texas,4186,28995881,3.0694014780926987e-06
53,TX,58,3,Texas,4266,28995881,2.0002841093188376e-06
54,TX,155,4,Texas,4294,28995881,5.3455868438693065e-06
55,TX,207,5,Texas,4464,28995881,7.138945010844816e-06
56,TX,193,6,Texas,4263,28995881,6.656117812043717e-06
57,TX,217,7,Texas,4278,28995881,7.4838215814170295e-06
58,TX,324,8,Texas,4280,28995881,1.1174000886539713e-05
59,TX,291,9,Texas,4255,28995881,1.0035908203651408e-05
60,TX,259,10,Texas,4156,28995881,8.932303177820326e-06
61,TX,244,11,Texas,4229,28995881,8.414988321962006e-06
62,TX,387,12,Texas,4396,28995881,1.3346723281144657e-05
63,TX,517,13,Texas,4509,28995881,1.783011869858343e-05
64,TX,608,14,Texas,4566,28995881,2.0968495490790572e-05
65,TX,573,15,Texas,5036,28995881,1.9761427493787825e-05
66,TX,558,16,Texas,5771,28995881,1.9244112637929505e-05
67,TX,490,17,Texas,6264,28995881,1.6898951958038453e-05
68,TX,466,18,Texas,6308,28995881,1.607124818866514e-05
69,TX,414,19,Texas,5953,28995881,1.4277890021689632e-05
70,TX,441,20,Texas,5712,28995881,1.5209056762234608e-05
71,TX,421,21,Texas,5782,28995881,1.4519303621090181e-05
72,TX,350,22,Texas,5033,28995881,1.2070679970027466e-05
73,TX,332,23,Texas,5137,28995881,1.1449902142997484e-05
74,TX,330,24,Texas,4942,28995881,1.138092682888304e-05
75,TX,310,25,Texas,4654,28995881,1.0691173687738613e-05
76,TX,299,26,Texas,4600,28995881,1.031180946010918e-05
77,TX,253,27,Texas,4543,28995881,8.725377235476997e-06
78,TX,277,28,Texas,4589,28995881,9.55308100485031e-06
79,TX,287,29,Texas,4719,28995881,9.897957575422524e-06
80,TX,307,30,Texas,4535,28995881,1.058771071656695e-05
81,TX,336,31,Texas,4813,28995881,1.1587852771226368e-05
82,TX,531,32,Texas,5163,28995881,1.8312945897384528e-05
83,TX,362,33,Texas,5399,28995881,1.2484531854714124e-05
84,TX,781,34,Texas,5441,28995881,2.693486016168986e-05
85,TX,496,35,Texas,5430,28995881,1.710587790038178e-05
86,TX,409,36,Texas,5595,28995881,1.4105451736403526e-05
87,TX,445,37,Texas,5637,28995881,1.5347007390463493e-05
88,TX,481,38,Texas,6056,28995881,1.658856304452346e-05
89,TX,412,39,Texas,6184,28995881,1.420891470757519e-05
90,TX,389,40,Texas,6133,28995881,1.3415698595259099e-05
91,TX,347,41,Texas,6542,28995881,1.1967216998855804e-05
92,TX,279,42,Texas,6965,28995881,9.622056318964753e-06
93,TX,306,43,Texas,7197,28995881,1.0553223059509728e-05
94,TX,293,44,Texas,6987,28995881,1.010488351776585e-05
