,code,count,week,state,deaths,July 2019 Estimate,normalized_counts
0,CA,136,0,California,5681,39512223,3.4419728801388877e-06
1,CA,129,1,California,5689,39512223,3.2648125113082097e-06
2,CA,80,2,California,5986,39512223,2.0246899294934633e-06
3,CA,41,3,California,6047,39512223,1.0376535888654e-06
4,CA,110,4,California,6131,39512223,2.783948653053512e-06
5,CA,125,5,California,5938,39512223,3.1635780148335365e-06
6,CA,128,6,California,5744,39512223,3.2395038871895413e-06
7,CA,213,7,California,5671,39512223,5.390736937276346e-06
8,CA,215,8,California,5695,39512223,5.4413541855136825e-06
9,CA,170,9,California,5530,39512223,4.30246610017361e-06
10,CA,153,10,California,5593,39512223,3.872219490156249e-06
11,CA,154,11,California,5518,39512223,3.897528114274917e-06
12,CA,183,12,California,5570,39512223,4.631478213716298e-06
13,CA,288,13,California,5489,39512223,7.288883746176468e-06
14,CA,254,14,California,5701,39512223,6.428390526141746e-06
15,CA,257,15,California,5901,39512223,6.5043163984977506e-06
16,CA,253,16,California,6042,39512223,6.403081902023078e-06
17,CA,277,17,California,6229,39512223,7.010488880871117e-06
18,CA,253,18,California,6250,39512223,6.403081902023078e-06
19,CA,244,19,California,6339,39512223,6.175304284955063e-06
20,CA,244,20,California,6309,39512223,6.175304284955063e-06
21,CA,263,21,California,6291,39512223,6.656168143209761e-06
22,CA,201,22,California,6477,39512223,5.0870334478523265e-06
23,CA,220,23,California,5878,39512223,5.567897306107024e-06
24,CA,159,24,California,5784,39512223,4.0240712348682585e-06
25,CA,162,25,California,5874,39512223,4.099997107224263e-06
26,CA,149,26,California,5753,39512223,3.7709849936815753e-06
27,CA,165,27,California,5562,39512223,4.175922979580268e-06
28,CA,165,28,California,5669,39512223,4.175922979580268e-06
29,CA,157,29,California,5568,39512223,3.973453986630922e-06
30,CA,135,30,California,5620,39512223,3.4166642560202193e-06
31,CA,388,31,California,5350,39512223,9.819746158043298e-06
32,CA,169,32,California,5529,39512223,4.277157476054941e-06
33,CA,141,33,California,5872,39512223,3.5685160007322293e-06
34,CA,208,34,California,6002,39512223,5.264193816683005e-06
35,CA,350,35,California,6350,39512223,8.858018441533903e-06
36,CA,266,36,California,6391,39512223,6.732094015565766e-06
37,CA,314,37,California,7160,39512223,7.946907973261843e-06
38,CA,321,38,California,8143,39512223,8.124068342092521e-06
39,CA,342,39,California,9218,39512223,8.655549448584555e-06
40,CA,334,40,California,10550,39512223,8.45308045563521e-06
41,CA,274,41,California,11233,39512223,6.934563008515112e-06
42,CA,223,42,California,11882,39512223,5.643823178463029e-06
43,CA,300,43,California,11551,39512223,7.592587235600487e-06
44,CA,234,44,California,10393,39512223,5.92221804376838e-06
45,CA,202,45,California,9574,39512223,5.1123420719709945e-06
46,CA,206,46,California,8757,39512223,5.213576568445668e-06
47,CA,175,47,California,7846,39512223,4.429009220766951e-06
48,CA,157,48,California,6996,39512223,3.973453986630922e-06
49,CA,142,49,California,6702,39512223,3.5938246248508973e-06
50,TX,90,0,Texas,4256,28995881,3.10388913514992e-06
51,TX,116,1,Texas,4259,28995881,4.000568218637675e-06
52,TX,78,2,Texas,4186,28995881,2.6900372504632642e-06
53,TX,39,3,Texas,4266,28995881,1.3450186252316321e-06
54,TX,76,4,Texas,4294,28995881,2.6210619363488215e-06
55,TX,90,5,Texas,4464,28995881,3.10388913514992e-06
56,TX,80,6,Texas,4263,28995881,2.7590125645777066e-06
57,TX,111,7,Texas,4278,28995881,3.8281299333515685e-06
58,TX,84,8,Texas,4280,28995881,2.896963192806592e-06
59,TX,96,9,Texas,4255,28995881,3.310815077493248e-06
60,TX,79,10,Texas,4156,28995881,2.7245249075204854e-06
61,TX,93,11,Texas,4229,28995881,3.207352106321584e-06
62,TX,125,12,Texas,4396,28995881,4.3109571321526665e-06
63,TX,195,13,Texas,4509,28995881,6.725093126158161e-06
64,TX,215,14,Texas,4566,28995881,7.414846267302587e-06
65,TX,193,15,Texas,5036,28995881,6.656117812043717e-06
66,TX,199,16,Texas,5771,28995881,6.863043754387045e-06
67,TX,184,17,Texas,6264,28995881,6.345728898528725e-06
68,TX,157,18,Texas,6308,28995881,5.41456215798375e-06
69,TX,145,19,Texas,5953,28995881,5.000710273297093e-06
