,code,count,week,state,deaths,July 2019 Estimate,normalized_counts
0,CA,39,0,California,5681,39512223,9.870363406280634e-07
1,CA,36,1,California,5689,39512223,9.111104682720585e-07
2,CA,26,2,California,5986,39512223,6.580242270853756e-07
3,CA,18,3,California,6047,39512223,4.5555523413602926e-07
4,CA,92,4,California,6131,39512223,2.328393418917483e-06
5,CA,64,5,California,5938,39512223,1.6197519435947706e-06
6,CA,41,6,California,5744,39512223,1.0376535888654e-06
7,CA,58,7,California,5671,39512223,1.4679001988827608e-06
8,CA,69,8,California,5695,39512223,1.746295064188112e-06
9,CA,116,9,California,5530,39512223,2.9358003977655217e-06
10,CA,54,10,California,5593,39512223,1.3666657024080878e-06
11,CA,45,11,California,5518,39512223,1.138888085340073e-06
12,CA,90,12,California,5570,39512223,2.277776170680146e-06
13,CA,76,13,California,5489,39512223,1.92345543301879e-06
14,CA,122,14,California,5701,39512223,3.0876521424775317e-06
15,CA,86,15,California,5901,39512223,2.1765416742054733e-06
16,CA,126,16,California,6042,39512223,3.188886638952205e-06
17,CA,78,17,California,6229,39512223,1.974072681256127e-06
18,CA,80,18,California,6250,39512223,2.0246899294934633e-06
19,CA,80,19,California,6339,39512223,2.0246899294934633e-06
20,CA,97,20,California,6309,39512223,2.4549365395108245e-06
21,CA,159,21,California,6291,39512223,4.0240712348682585e-06
22,CA,132,22,California,6477,39512223,3.3407383836642145e-06
23,CA,74,23,California,5878,39512223,1.8728381847814537e-06
24,CA,70,24,California,5784,39512223,1.7716036883067805e-06
25,CA,68,25,California,5874,39512223,1.7209864400694438e-06
26,CA,51,26,California,5753,39512223,1.2907398300520828e-06
27,CA,49,27,California,5562,39512223,1.2401225818147462e-06
28,CA,57,28,California,5669,39512223,1.4425915747640926e-06
29,CA,59,29,California,5568,39512223,1.4932088230014292e-06
30,CA,54,30,California,5620,39512223,1.3666657024080878e-06
31,CA,60,31,California,5350,39512223,1.5185174471200974e-06
32,CA,65,32,California,5529,39512223,1.645060567713439e-06
33,CA,58,33,California,5872,39512223,1.4679001988827608e-06
34,CA,334,34,California,6002,39512223,8.45308045563521e-06
35,CA,114,35,California,6350,39512223,2.8851831495281853e-06
36,CA,99,36,California,6391,39512223,2.505553787748161e-06
37,CA,108,37,California,7160,39512223,2.7333314048161757e-06
38,CA,111,38,California,8143,39512223,2.8092572771721805e-06
39,CA,86,39,California,9218,39512223,2.1765416742054733e-06
40,CA,91,40,California,10550,39512223,2.3030847947988145e-06
41,CA,76,41,California,11233,39512223,1.92345543301879e-06
42,CA,76,42,California,11882,39512223,1.92345543301879e-06
43,CA,76,43,California,11551,39512223,1.92345543301879e-06
44,CA,74,44,California,10393,39512223,1.8728381847814537e-06
45,CA,65,45,California,9574,39512223,1.645060567713439e-06
46,CA,60,46,California,8757,39512223,1.5185174471200974e-06
47,CA,67,47,California,7846,39512223,1.6956778159507754e-06
48,CA,66,48,California,6996,39512223,1.6703691918321072e-06
49,CA,55,49,California,6702,39512223,1.391974326526756e-06
50,NY,18,0,New York,2130,19453561,9.252804666456696e-07
51,NY,31,1,New York,2545,19453561,1.59353858144532e-06
52,NY,25,2,New York,3777,19453561,1.2851117592300967e-06
53,NY,23,3,New York,4667,19453561,1.182302818491689e-06
54,NY,200,4,New York,4466,19453561,1.0280894073840773e-05
55,NY,98,5,New York,3743,19453561,5.037638096181979e-06
56,NY,168,6,New York,3130,19453561,8.63595102202625e-06
